Date,Voucher Number,Voucher Type,Status,Customer Name,State,Region,Product Name,Quantity,Rate,Product Net Amount,CGST,SGST,IGST,Other Charges,Invoice Total
2026-04-28,GST/0068/26-27,GST Sales,Sale,Anantech Ventures Limited (Sales A/c),Unknown State,Unknown Region,SPONGE IRON,65.56,28000.0,1835680.0,165211.2,165211.2,0,1835680.0,2166102.4
2026-05-09,GST/0095/26-27,GST Sales,Sale,Cash,Unknown State,Unknown Region,Services/Ledger Entry,,,0.0,0,0,0,0.0,0.0
2026-05-13,GST/0103/26-27,GST Sales,Sale,Cash,Unknown State,Unknown Region,Services/Ledger Entry,,,0.0,0,0,0,0.0,0.0
2026-04-28,GST/0067/26-27,GST Sales,Sale,Palamu Iron & Steel,Unknown State,Unknown Region,SPONGE IRON,62.85,28300.0,1778655.0,160078.95,160078.95,0,1778655.0,2098812.9
2026-04-28,GST/0069/26-27,GST Sales,Sale,Anantech Ventures Limited (Sales A/c),Unknown State,Unknown Region,SPONGE IRON,64.89,28000.0,1816920.0,163522.8,163522.8,0,1816920.0,2143965.6
2026-06-11,GST/0144/26-27,GST Sales,Sale,Cash,Unknown State,Unknown Region,Services/Ledger Entry,,,0.0,0,0,0,0.0,0.0
2026-06-13,GST/0149/26-27,GST Sales,Sale,Cash,Unknown State,Unknown Region,Services/Ledger Entry,,,0.0,0,0,0,0.0,0.0
2026-04-29,GST/0072/26-27,GST Sales,Sale,Anantech Ventures Limited (Sales A/c),Unknown State,Unknown Region,SPONGE IRON,64.75,27500.0,1780625.0,160256.25,160256.25,0,1780625.0,2101137.5
2026-04-29,GST/0070/26-27,GST Sales,Sale,Anantech Ventures Limited (Sales A/c),Unknown State,Unknown Region,SPONGE IRON,45.48,28000.0,1273440.0,166854.24,166854.24,0,1853936.0,2187644.48
2026-04-29,GST/0070/26-27,GST Sales,Sale,Anantech Ventures Limited (Sales A/c),Unknown State,Unknown Region,SPONGE IRON,19.88,29200.0,580496.0,0.0,0.0,0.0,0.0,0.0
2026-07-05,GST/0196/26-27,GST Sales,Sale,Cash,Unknown State,Unknown Region,Services/Ledger Entry,,,0.0,0,0,0,0.0,0.0
2026-04-29,GST/0071/26-27,GST Sales,Sale,Anantech Ventures Limited (Sales A/c),Unknown State,Unknown Region,SPONGE IRON,62.11,27500.0,1708025.0,153722.25,153722.25,0,1708025.0,2015469.5
2026-07-07,GST/0202/26-27,GST Sales,Sale,Cash,Unknown State,Unknown Region,Services/Ledger Entry,,,0.0,0,0,0,0.0,0.0
2026-04-30,GST/0073/26-27,GST Sales,Sale,SURYANSH TRACKING SYSTEMS PVT LTD,Unknown State,Unknown Region,SPONGE IRON,41.96,30080.0,1262156.8,113594.11,113594.11,0,1262156.8,1489345.02
2026-04-30,GST/0074/26-27,GST Sales,Sale,SURYANSH TRACKING SYSTEMS PVT LTD,Unknown State,Unknown Region,SPONGE IRON,41.2,30080.0,1239296.0,111536.64,111536.64,0,1239296.0,1462369.28
2026-05-01,GST/0077/26-27,GST Sales,Sale,Anantech Ventures Limited (Sales A/c),Unknown State,Unknown Region,SPONGE IRON,64.78,28000.0,1813840.0,163245.6,163245.6,0,1813840.0,2140331.2
2026-05-02,GST/0081/26-27,GST Sales,Sale,SURYANSH TRACKING SYSTEMS PVT LTD,Unknown State,Unknown Region,SPONGE IRON,40.57,30080.0,1220345.6,113942.01,113942.01,0,1266022.4,1493906.42
2026-05-02,GST/0081/26-27,GST Sales,Sale,SURYANSH TRACKING SYSTEMS PVT LTD,Unknown State,Unknown Region,SPONGE IRON,1.56,29280.0,45676.8,0.0,0.0,0.0,0.0,0.0
2026-05-04,GST/0084/26-27,GST Sales,Sale,Anantech Ventures Limited (Sales A/c),Unknown State,Unknown Region,SPONGE IRON,25.4,28000.0,711200.0,162622.8,162622.8,0,1806920.0,2132165.6
2026-05-04,GST/0084/26-27,GST Sales,Sale,Anantech Ventures Limited (Sales A/c),Unknown State,Unknown Region,SPONGE IRON,39.7,27600.0,1095720.0,0.0,0.0,0.0,0.0,0.0
2026-05-05,GST/0087/26-27,GST Sales,Sale,SURYANSH TRACKING SYSTEMS PVT LTD,Unknown State,Unknown Region,SPONGE IRON,42.38,29280.0,1240886.4,111679.78,111679.78,0,1240886.4,1464245.96
2026-05-01,GST/0075/26-27,GST Sales,Sale,Palamu Iron & Steel,Unknown State,Unknown Region,SPONGE IRON,60.48,28300.0,1711584.0,154042.56,154042.56,0,1711584.0,2019669.12
2026-05-01,GST/0079/26-27,GST Sales,Sale,Anantech Ventures Limited (Sales A/c),Unknown State,Unknown Region,SPONGE IRON,66.01,18400.0,1214584.0,109312.56,109312.56,0,1214584.0,1433209.12
2026-05-03,GST/0082/26-27,GST Sales,Sale,SURYANSH TRACKING SYSTEMS PVT LTD,Unknown State,Unknown Region,SPONGE IRON,41.59,29280.0,1217755.2,109597.97,109597.97,0,1217755.2,1436951.14
2026-05-04,GST/0086/26-27,GST Sales,Sale,Anantech Ventures Limited (Sales A/c),Unknown State,Unknown Region,SPONGE IRON,18.73,28000.0,524440.0,164593.44,164593.44,0,1828816.0,2158002.88
2026-05-04,GST/0086/26-27,GST Sales,Sale,Anantech Ventures Limited (Sales A/c),Unknown State,Unknown Region,SPONGE IRON,47.26,27600.0,1304376.0,0.0,0.0,0.0,0.0,0.0
2026-05-05,GST/0089/26-27,GST Sales,Sale,Anantech Ventures Limited (Sales A/c),Unknown State,Unknown Region,SPONGE IRON,62.53,27500.0,1719575.0,154761.75,154761.75,0,1719575.0,2029098.5
2026-05-07,DN/26-27/001,Debit Note (Sales),Sale,SURYANSH TRACKING SYSTEMS PVT LTD,Unknown State,Unknown Region,SPONGE IRON,0.0,0.0,63650.0,5728.5,5728.5,0,63650.0,75107.0
2026-05-07,GST/0093/26-27,GST Sales,Sale,Anantech Ventures Limited (Sales A/c),Unknown State,Unknown Region,SPONGE IRON,64.21,27500.0,1765775.0,158919.75,158919.75,0,1765775.0,2083614.5
2026-05-09,GST/0098/26-27,GST Sales,Sale,Palamu Iron & Steel,Unknown State,Unknown Region,SPONGE IRON,64.07,28300.0,1813181.0,163186.29,163186.29,0,1813181.0,2139553.58
2026-05-01,GST/0078/26-27,GST Sales,Sale,Anantech Ventures Limited (Sales A/c),Unknown State,Unknown Region,SPONGE IRON,64.71,28000.0,1811880.0,163069.2,163069.2,0,1811880.0,2138018.4
2026-05-04,GST/0085/26-27,GST Sales,Sale,Anantech Ventures Limited (Sales A/c),Unknown State,Unknown Region,SPONGE IRON,65.18,27600.0,1798968.0,161907.12,161907.12,0,1798968.0,2122782.24
2026-05-05,GST/0088/26-27,GST Sales,Sale,Anantech Ventures Limited (Sales A/c),Unknown State,Unknown Region,SPONGE IRON,65.07,28000.0,1821960.0,163976.4,163976.4,0,1821960.0,2149912.8
2026-05-07,GST/0092/26-27,GST Sales,Sale,Anantech Ventures Limited (Sales A/c),Unknown State,Unknown Region,SPONGE IRON,64.78,27600.0,1787928.0,160913.52,160913.52,0,1787928.0,2109755.04
2026-05-09,GST/0097/26-27,GST Sales,Sale,SURYANSH TRACKING SYSTEMS PVT LTD,Unknown State,Unknown Region,SPONGE IRON,36.33,29580.0,1074641.4,96717.73,96717.73,0,1074641.4,1268076.86
2026-05-01,GST/0076/26-27,GST Sales,Sale,Palamu Iron & Steel,Unknown State,Unknown Region,SPONGE IRON,59.64,28300.0,1687812.0,151903.08,151903.08,0,1687812.0,1991618.16
2026-05-03,GST/0083/26-27,GST Sales,Sale,Anantech Ventures Limited (Sales A/c),Unknown State,Unknown Region,SPONGE IRON,64.82,28000.0,1814960.0,163346.4,163346.4,0,1814960.0,2141652.8
2026-05-07,GST/0090/26-27,GST Sales,Sale,SURYANSH TRACKING SYSTEMS PVT LTD,Unknown State,Unknown Region,SPONGE IRON,42.25,29780.0,1258205.0,113238.45,113238.45,0,1258205.0,1484681.9
2026-05-08,GST/0094/26-27,GST Sales,Sale,Anantech Ventures Limited (Sales A/c),Unknown State,Unknown Region,SPONGE IRON,57.57,29200.0,1681044.0,167891.0,167891.0,0,1865455.5,2201237.5
2026-05-08,GST/0094/26-27,GST Sales,Sale,Anantech Ventures Limited (Sales A/c),Unknown State,Unknown Region,SPONGE IRON,6.37,28950.0,184411.5,0.0,0.0,0.0,0.0,0.0
2026-05-09,GST/0099/26-27,GST Sales,Sale,Anantech Ventures Limited (Sales A/c),Unknown State,Unknown Region,SPONGE IRON,64.45,26800.0,1727260.0,155453.4,155453.4,0,1727260.0,2038166.8
2026-05-07,GST/0091/26-27,GST Sales,Sale,Anantech Ventures Limited (Sales A/c),Unknown State,Unknown Region,SPONGE IRON,65.78,27600.0,1815528.0,163397.52,163397.52,0,1815528.0,2142323.04
2026-05-09,GST/0096/26-27,GST Sales,Sale,Palamu Iron & Steel,Unknown State,Unknown Region,SPONGE IRON,52.31,28300.0,1480373.0,133233.57,133233.57,0,1480373.0,1746840.14
2026-05-09,GST/0100/26-27,GST Sales,Sale,Anantech Ventures Limited (Sales A/c),Unknown State,Unknown Region,SPONGE IRON,64.84,27600.0,1789584.0,161062.56,161062.56,0,1789584.0,2111709.12
2026-05-11,GST/0101/26-27,GST Sales,Sale,SURYANSH TRACKING SYSTEMS PVT LTD,Unknown State,Unknown Region,SPONGE IRON,30.45,29780.0,906801.0,110600.37,110600.37,0,1228893.0,1450093.74
2026-05-11,GST/0101/26-27,GST Sales,Sale,SURYANSH TRACKING SYSTEMS PVT LTD,Unknown State,Unknown Region,SPONGE IRON,11.67,27600.0,322092.0,0.0,0.0,0.0,0.0,0.0
2026-05-11,GST/0102/26-27,GST Sales,Sale,Anantech Ventures Limited (Sales A/c),Unknown State,Unknown Region,SPONGE IRON,64.66,27600.0,1784616.0,160615.44,160615.44,0,1784616.0,2105846.88
2026-04-01,GST/0001/26-27,GST Sales,Sale,Anantech Ventures Limited (Sales A/c),Unknown State,Unknown Region,SPONGE IRON,64.76,27700.0,1793852.0,161446.68,161446.68,0,1793852.0,2116745.36
2026-04-01,GST/0005/26-27,GST Sales,Sale,Shivans Steel Private Limited (Sales A/c),Unknown State,Unknown Region,SPONGE IRON,63.18,28825.0,1821163.5,163904.72,163904.72,0,1821163.5,2148972.94
2026-04-02,GST/0009/26-27,GST Sales,Sale,SHRI SHYAM METALLICS,Unknown State,Unknown Region,SPONGE IRON,54.46,27500.0,1497650.0,0,0,296893.8,1649410.0,1946303.8
2026-04-02,GST/0009/26-27,GST Sales,Sale,SHRI SHYAM METALLICS,Unknown State,Unknown Region,SPONGE IRON,5.42,28000.0,151760.0,0.0,0.0,0.0,0.0,0.0
2026-04-02,GST/0013/26-27,GST Sales,Sale,SURYANSH TRACKING SYSTEMS PVT LTD,Unknown State,Unknown Region,Other Waste,36.64,200.0,7328.0,659.52,659.52,0,7328.0,8647.04
2026-04-04,GST/0019/26-27,GST Sales,Sale,SURYANSH TRACKING SYSTEMS PVT LTD,Unknown State,Unknown Region,Other Waste,34.33,200.0,6866.0,617.94,617.94,0,6866.0,8101.88
2026-04-05,GST/0020/26-27,GST Sales,Sale,Anantech Ventures Limited (Sales A/c),Unknown State,Unknown Region,SPONGE IRON,15.14,27700.0,419378.0,162763.74,162763.74,0,1808486.0,2134013.48
2026-04-05,GST/0020/26-27,GST Sales,Sale,Anantech Ventures Limited (Sales A/c),Unknown State,Unknown Region,SPONGE IRON,25.99,28000.0,727720.0,0.0,0.0,0.0,0.0,0.0
2026-04-05,GST/0020/26-27,GST Sales,Sale,Anantech Ventures Limited (Sales A/c),Unknown State,Unknown Region,SPONGE IRON,23.92,27650.0,661388.0,0.0,0.0,0.0,0.0,0.0
2026-04-01,GST/0002/26-27,GST Sales,Sale,SURYANSH TRACKING SYSTEMS PVT LTD,Unknown State,Unknown Region,SPONGE IRON,49.35,28880.0,1425228.0,128270.52,128270.52,0,1425228.0,1681769.04
2026-04-01,GST/0006/26-27,GST Sales,Sale,SHRI SHYAM METALLICS,Unknown State,Unknown Region,SPONGE IRON,61.47,28000.0,1721160.0,0,0,309808.8,1721160.0,2030968.8
2026-04-02,GST/0014/26-27,GST Sales,Sale,SURYANSH TRACKING SYSTEMS PVT LTD,Unknown State,Unknown Region,SPONGE IRON,57.71,27980.0,1614725.8,160036.79,160036.79,0,1778186.6,2098260.18
2026-04-02,GST/0014/26-27,GST Sales,Sale,SURYANSH TRACKING SYSTEMS PVT LTD,Unknown State,Unknown Region,SPONGE IRON,5.66,28880.0,163460.8,0.0,0.0,0.0,0.0,0.0
2026-04-04,GST/0016/26-27,GST Sales,Sale,Anantech Ventures Limited (Sales A/c),Unknown State,Unknown Region,SPONGE IRON,65.18,27700.0,1805486.0,162493.74,162493.74,0,1805486.0,2130473.48
2026-04-05,GST/0021/26-27,GST Sales,Sale,Shivans Steel Private Limited (Sales A/c),Unknown State,Unknown Region,SPONGE IRON,38.74,28825.0,1116680.5,170976.47,170976.47,0,1899738.5,2241691.44
2026-04-05,GST/0021/26-27,GST Sales,Sale,Shivans Steel Private Limited (Sales A/c),Unknown State,Unknown Region,SPONGE IRON,26.68,29350.0,783058.0,0.0,0.0,0.0,0.0,0.0
2026-04-06,GST/0025/26-27,GST Sales,Sale,Anantech Ventures Limited (Sales A/c),Unknown State,Unknown Region,SPONGE IRON,64.68,27700.0,1791636.0,161247.24,161247.24,0,1791636.0,2114130.48
2026-04-01,GST/0007/26-27,GST Sales,Sale,Anantech Ventures Limited (Sales A/c),Unknown State,Unknown Region,SPONGE IRON,64.84,27700.0,1796068.0,161646.12,161646.12,0,1796068.0,2119360.24
2026-04-02,GST/0011/26-27,GST Sales,Sale,SURYANSH TRACKING SYSTEMS PVT LTD,Unknown State,Unknown Region,Other Waste,38.57,200.0,7714.0,694.26,694.26,0,7714.0,9102.52
2026-04-04,GST/0017/26-27,GST Sales,Sale,SURYANSH TRACKING SYSTEMS PVT LTD,Unknown State,Unknown Region,Other Waste,36.9,200.0,7380.0,664.2,664.2,0,7380.0,8708.4
2026-04-05,GST/0022/26-27,GST Sales,Sale,Shivans Steel Private Limited (Sales A/c),Unknown State,Unknown Region,SPONGE IRON,64.6,29350.0,1896010.0,170640.9,170640.9,0,1896010.0,2237291.8
2026-04-01,GST/0008/26-27,GST Sales,Sale,SURYANSH TRACKING SYSTEMS PVT LTD,Unknown State,Unknown Region,Other Waste,30.11,200.0,6022.0,541.98,541.98,0,6022.0,7105.96
2026-04-02,GST/0012/26-27,GST Sales,Sale,SURYANSH TRACKING SYSTEMS PVT LTD,Unknown State,Unknown Region,SPONGE IRON,48.5,28880.0,1400680.0,126061.2,126061.2,0,1400680.0,1652802.4
2026-04-03,GST/0015/26-27,GST Sales,Sale,Anantech Ventures Limited (Sales A/c),Unknown State,Unknown Region,SPONGE IRON,64.97,27700.0,1799669.0,161970.21,161970.21,0,1799669.0,2123609.42
2026-04-04,GST/0018/26-27,GST Sales,Sale,SURYANSH TRACKING SYSTEMS PVT LTD,Unknown State,Unknown Region,Other Waste,30.91,200.0,6182.0,556.38,556.38,0,6182.0,7294.76
2026-04-06,GST/0024/26-27,GST Sales,Sale,SURYANSH TRACKING SYSTEMS PVT LTD,Unknown State,Unknown Region,Other Waste,30.61,200.0,6122.0,550.98,550.98,0,6122.0,7223.96
2026-04-07,GST/0029/26-27,GST Sales,Sale,Anantech Ventures Limited (Sales A/c),Unknown State,Unknown Region,SPONGE IRON,48.29,27900.0,1347291.0,121256.19,121256.19,0,1347291.0,1589803.38
2026-04-08,GST/0034/26-27,GST Sales,Sale,SHRI SHYAM METALLICS,Unknown State,Unknown Region,SPONGE IRON,61.78,28900.0,1785442.0,0,0,321379.56,1785442.0,2106821.56
2026-04-09,GST/0039/26-27,GST Sales,Sale,Shivans Steel Private Limited (Sales A/c),Unknown State,Unknown Region,SPONGE IRON,64.57,29350.0,1895129.5,170561.66,170561.66,0,1895129.5,2236252.82
2026-04-06,GST/0026/26-27,GST Sales,Sale,SHRI SHYAM METALLICS,Unknown State,Unknown Region,SPONGE IRON,81.12,28000.0,2271360.0,0,0,408844.8,2271360.0,2680204.8
2026-04-08,GST/0032/26-27,GST Sales,Sale,SHRI SHYAM METALLICS,Unknown State,Unknown Region,SPONGE IRON,58.52,28900.0,1691228.0,0,0,304421.04,1691228.0,1995649.04
2026-04-08,GST/0036/26-27,GST Sales,Sale,Shivans Steel Private Limited (Sales A/c),Unknown State,Unknown Region,SPONGE IRON,65.04,29350.0,1908924.0,171803.16,171803.16,0,1908924.0,2252530.32
2026-04-09,GST/0041/26-27,GST Sales,Sale,Anantech Ventures Limited (Sales A/c),Unknown State,Unknown Region,SPONGE IRON,64.55,28000.0,1807400.0,162666.0,162666.0,0,1807400.0,2132732.0
2026-04-06,GST/0027/26-27,GST Sales,Sale,SHRI SHYAM METALLICS,Unknown State,Unknown Region,SPONGE IRON,81.19,28000.0,2273320.0,0,0,409197.6,2273320.0,2682517.6
2026-04-07,GST/0028/26-27,GST Sales,Sale,Anantech Ventures Limited (Sales A/c),Unknown State,Unknown Region,SPONGE IRON,50.44,27700.0,1397188.0,162337.32,162337.32,0,1803748.0,2128422.64
2026-04-07,GST/0028/26-27,GST Sales,Sale,Anantech Ventures Limited (Sales A/c),Unknown State,Unknown Region,SPONGE IRON,14.52,28000.0,406560.0,0.0,0.0,0.0,0.0,0.0
2026-04-08,GST/0033/26-27,GST Sales,Sale,Anantech Ventures Limited (Sales A/c),Unknown State,Unknown Region,SPONGE IRON,43.76,27900.0,1220904.0,109881.36,109881.36,0,1220904.0,1440666.72
2026-04-08,GST/0037/26-27,GST Sales,Sale,Anantech Ventures Limited (Sales A/c),Unknown State,Unknown Region,SPONGE IRON,64.82,18400.0,1192688.0,107341.92,107341.92,0,1192688.0,1407371.84
2026-04-09,GST/0038/26-27,GST Sales,Sale,SURYANSH TRACKING SYSTEMS PVT LTD,Unknown State,Unknown Region,Other Waste,31.25,200.0,6250.0,562.5,562.5,0,6250.0,7375.0
2026-04-07,GST/0030/26-27,GST Sales,Sale,SHRI SHYAM METALLICS,Unknown State,Unknown Region,SPONGE IRON,50.3,28000.0,1408400.0,0,0,412537.14,2291873.0,2704410.14
2026-04-07,GST/0030/26-27,GST Sales,Sale,SHRI SHYAM METALLICS,Unknown State,Unknown Region,SPONGE IRON,30.57,28900.0,883473.0,0.0,0.0,0.0,0.0,0.0
2026-04-08,GST/0031/26-27,GST Sales,Sale,SURYANSH TRACKING SYSTEMS PVT LTD,Unknown State,Unknown Region,Other Waste,24.33,200.0,4866.0,437.94,437.94,0,4866.0,5741.88
2026-04-08,GST/0035/26-27,GST Sales,Sale,Anantech Ventures Limited (Sales A/c),Unknown State,Unknown Region,SPONGE IRON,25.58,27700.0,708566.0,161990.15,161990.15,0,1799890.5,2123870.8
2026-04-08,GST/0035/26-27,GST Sales,Sale,Anantech Ventures Limited (Sales A/c),Unknown State,Unknown Region,SPONGE IRON,18.9,28000.0,529200.0,0.0,0.0,0.0,0.0,0.0
2026-04-08,GST/0035/26-27,GST Sales,Sale,Anantech Ventures Limited (Sales A/c),Unknown State,Unknown Region,SPONGE IRON,20.33,27650.0,562124.5,0.0,0.0,0.0,0.0,0.0
2026-04-09,GST/0040/26-27,GST Sales,Sale,Anantech Ventures Limited (Sales A/c),Unknown State,Unknown Region,SPONGE IRON,65.18,28000.0,1825040.0,164253.6,164253.6,0,1825040.0,2153547.2
2026-04-11,GST/0045/26-27,GST Sales,Sale,SURYANSH TRACKING SYSTEMS PVT LTD,Unknown State,Unknown Region,Other Waste,30.03,200.0,6006.0,540.54,540.54,0,6006.0,7087.08
2026-04-13,GST/0050/26-27,GST Sales,Sale,Anantech Ventures Limited (Sales A/c),Unknown State,Unknown Region,SPONGE IRON,49.89,27900.0,1391931.0,125273.79,125273.79,0,1391931.0,1642478.58
2026-04-10,GST/0042/26-27,GST Sales,Sale,Anantech Ventures Limited (Sales A/c),Unknown State,Unknown Region,SPONGE IRON,62.02,27700.0,1717954.0,154615.86,154615.86,0,1717954.0,2027185.72
2026-04-11,GST/0046/26-27,GST Sales,Sale,SHRI SHYAM METALLICS,Unknown State,Unknown Region,SPONGE IRON,36.37,28900.0,1051093.0,0,0,329907.06,1832817.0,2162724.06
2026-04-11,GST/0046/26-27,GST Sales,Sale,SHRI SHYAM METALLICS,Unknown State,Unknown Region,SPONGE IRON,26.68,29300.0,781724.0,0.0,0.0,0.0,0.0,0.0
2026-04-12,GST/0047/26-27,GST Sales,Sale,Anantech Ventures Limited (Sales A/c),Unknown State,Unknown Region,SPONGE IRON,48.83,27900.0,1362357.0,122612.13,122612.13,0,1362357.0,1607581.26
2026-04-13,GST/0051/26-27,GST Sales,Sale,Shivans Steel Private Limited (Sales A/c),Unknown State,Unknown Region,SPONGE IRON,65.5,29350.0,1922425.0,173018.25,173018.25,0,1922425.0,2268461.5
2026-04-14,GST/0052/26-27,GST Sales,Sale,Anantech Ventures Limited (Sales A/c),Unknown State,Unknown Region,SPONGE IRON,48.83,28000.0,1367240.0,165888.0,165888.0,0,1843200.0,2174976.0
2026-04-14,GST/0052/26-27,GST Sales,Sale,Anantech Ventures Limited (Sales A/c),Unknown State,Unknown Region,SPONGE IRON,16.3,29200.0,475960.0,0.0,0.0,0.0,0.0,0.0
2026-04-11,GST/0043/26-27,GST Sales,Sale,SHRI SHYAM METALLICS,Unknown State,Unknown Region,SPONGE IRON,62.76,28900.0,1813764.0,0,0,326477.52,1813764.0,2140241.52
2026-04-12,GST/0048/26-27,GST Sales,Sale,Shivans Steel Private Limited (Sales A/c),Unknown State,Unknown Region,SPONGE IRON,64.7,29350.0,1898945.0,170905.05,170905.05,0,1898945.0,2240755.1
2026-04-11,GST/0044/26-27,GST Sales,Sale,Anantech Ventures Limited (Sales A/c),Unknown State,Unknown Region,SPONGE IRON,48.41,27900.0,1350639.0,121557.51,121557.51,0,1350639.0,1593754.02
2026-04-12,GST/0049/26-27,GST Sales,Sale,Anantech Ventures Limited (Sales A/c),Unknown State,Unknown Region,SPONGE IRON,41.1,28000.0,1150800.0,167774.04,167774.04,0,1864156.0,2199704.08
2026-04-12,GST/0049/26-27,GST Sales,Sale,Anantech Ventures Limited (Sales A/c),Unknown State,Unknown Region,SPONGE IRON,24.43,29200.0,713356.0,0.0,0.0,0.0,0.0,0.0
2026-04-17,GST/0055/26-27,GST Sales,Sale,SURYANSH TRACKING SYSTEMS PVT LTD,Unknown State,Unknown Region,SPONGE IRON,7.18,28880.0,207358.4,113333.04,113333.04,0,1259256.0,1485922.08
2026-04-17,GST/0055/26-27,GST Sales,Sale,SURYANSH TRACKING SYSTEMS PVT LTD,Unknown State,Unknown Region,SPONGE IRON,34.97,30080.0,1051897.6,0.0,0.0,0.0,0.0,0.0
2026-04-19,GST/0058/26-27,GST Sales,Sale,Anantech Ventures Limited (Sales A/c),Unknown State,Unknown Region,SPONGE IRON,51.4,18400.0,945760.0,85118.4,85118.4,0,945760.0,1115996.8
2026-04-17,GST/0054/26-27,GST Sales,Sale,Anantech Ventures Limited (Sales A/c),Unknown State,Unknown Region,SPONGE IRON,65.44,29200.0,1910848.0,171976.32,171976.32,0,1910848.0,2254800.64
2026-04-18,GST/0057/26-27,GST Sales,Sale,Anantech Ventures Limited (Sales A/c),Unknown State,Unknown Region,SPONGE IRON,47.57,27900.0,1327203.0,119448.27,119448.27,0,1327203.0,1566099.54
2026-04-19,GST/0059/26-27,GST Sales,Sale,Anantech Ventures Limited (Sales A/c),Unknown State,Unknown Region,SPONGE IRON,64.43,29200.0,1881356.0,169322.04,169322.04,0,1881356.0,2220000.08
2026-04-20,GST/0060/26-27,GST Sales,Sale,Anantech Ventures Limited (Sales A/c),Unknown State,Unknown Region,SPONGE IRON,64.55,30300.0,1955865.0,176027.85,176027.85,0,1955865.0,2307920.7
2026-04-18,GST/0056/26-27,GST Sales,Sale,Anantech Ventures Limited (Sales A/c),Unknown State,Unknown Region,SPONGE IRON,46.74,27900.0,1304046.0,117364.14,117364.14,0,1304046.0,1538774.28
2026-04-22,GST/0061/26-27,GST Sales,Sale,SURYANSH TRACKING SYSTEMS PVT LTD,Unknown State,Unknown Region,SPONGE IRON,41.3,30080.0,1242304.0,111807.36,111807.36,0,1242304.0,1465918.72
2026-04-24,GST/0062/26-27,GST Sales,Sale,Anantech Ventures Limited (Sales A/c),Unknown State,Unknown Region,SPONGE IRON,46.39,27900.0,1294281.0,116485.29,116485.29,0,1294281.0,1527251.58
